Country,Code,Calling Code,Year,CO2 emission (Tons),Population(2022),Area,% of World,Density(km²)
Brazil,BR,55,1963,746455480,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1964,803122157,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1965,859451773,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1966,923679251,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1967,989792232,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1968,1067120847,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1969,1151335581,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1970,1244984023,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1971,1347463995,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1972,1461612579,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1973,1593781432,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1974,1736865092,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1975,1887550118,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1976,2042123856,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1977,2204382164,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1978,2380488864,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1979,2567823261,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1980,2753759815,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1981,2924381392,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1982,3095305215,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1983,3260827900,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1984,3428511138,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1985,3608515477,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1986,3805808033,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1987,4011646889,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1988,4219243100,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1989,4431373782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1990,4650031782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1991,4879425782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1992,5113026782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1993,5357332782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1994,5611334782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1995,5880012782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1996,6169323782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1997,6476272782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1998,6793631782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1999,7120887782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2000,7461070782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2001,7807236782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2002,8155001782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2003,8499646782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2004,8861080782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2005,9225451782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2006,9594322782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2007,9984895782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2008,10397533782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2009,10787308782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2010,11227577782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2011,11690157782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2012,12188466782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2013,12720884782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2014,13278785782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2015,13808138782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2016,14300886782,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2017,14801644497,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2018,15285329785,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2019,15771122931,215313498,8515767,5.60%,25/km²
Brazil,BR,55,2020,16238506431,215313498,8515767,5.60%,25/km²
